"","Method","GroupBasedOn","Group","None.HeS","None.HoS","None.DL","None.HD","None.DR","None.Stochasticity","Specialist.HeS","Specialist.HoS","Specialist.DL","Specialist.HD","Specialist.DR","Specialist.Stochasticity","Generalist.HeS","Generalist.HoS","Generalist.DL","Generalist.HD","Generalist.DR","Generalist.Stochasticity"
"1","bNTIiRCbraya","Site","Fish Den",0.0824387478248632,0.111961108449952,0.235761143392723,0.0377506107408914,0.532088389591571,0.805600143725185,0.0499647543424193,0.103988610342229,0.433854518115659,0.00880842548646202,0.40338369171323,0.846046635315351,0.144586989111561,0.312154501536974,0.168465681112924,0.00951832369589666,0.365274504542645,0.543258509351465
"2","bNTIiRCbraya","Site","Leo's Den",0.112618696437285,0.0828440306958405,0.105662176433756,0.0048526495913947,0.694022446841723,0.804537272866874,0.102525394182264,0.0928548827798238,0.240229687079903,0.00971706932334964,0.554672966634659,0.804619723037912,0.135949350140531,0.309782017053583,0.0963517475995847,0.00562201413617071,0.45229487107013,0.554268632805885
"3","bNTIiRCbraya","Site","B-S Deep",0.093820598582231,0.0859719200385616,0.210981708858197,0.0114077577739436,0.597818014747067,0.820207481379207,0.0631141338016817,0.0731590109752872,0.248734816237446,0.00709827646732553,0.607893762518259,0.863726855223031,0.239635534184264,0.202605202038634,0.151126215501347,0.00805852962334419,0.398574518652411,0.557759263777102
"4","bNTIiRCbraya","Site","White Hole",0.08898996926822,0.0911263343554672,0.217662826735462,0.0107036004707839,0.591517269170067,0.819883696376313,0.0650220469847411,0.0829384353343301,0.334587867246345,0.0104618274176145,0.50698982301697,0.852039517680929,0.291530773340158,0.11775047452607,0.19162940528043,0.0146032056972313,0.384486141156111,0.590718752133772
"5","bNTIiRCbraya","Site","Wicked Pissa",0.103894952384935,0.0842898897838096,0.0709440224643286,0.0110952143310315,0.729775921035895,0.811815157831255,0.0638139545613616,0.106363977375979,0.151681314151486,0.00851485059362216,0.669625903317551,0.829822068062659,0.0887537319988945,0.297898386263313,0.0416073680001879,0.00983264669614918,0.561907867041455,0.613347881737792
"6","bNTIiRCbraya","Site","Phlipper's Peace",0.102685108936856,0.175507901647533,0.0327050935169153,0.0280481002981021,0.661053795600593,0.72180698941561,0.0726111689899062,0.0725434223262515,0.125936111662755,0.0290241474033114,0.699885149617776,0.854845408683842,0.227382949682359,0.272065476193286,0.0306529809211236,0.00881843054029423,0.461080162662938,0.500551574124356
"7","bNTIiRCbraya","Site","Thalassa Arg",0.0984487674365876,0.0783318011902579,0.232463209787972,0.0102338738060525,0.58052234777913,0.823219431373155,0.0754384964339248,0.0782070376933226,0.301603589369414,0.00572288238511595,0.539027994118223,0.846354465872753,0.185370832699188,0.204088056788444,0.125889339047879,0.00753149208053496,0.477120279383954,0.610541110512368
"8","bNTIiRCbraya","Site","International Diver",0.147851677621311,0.0658326102091174,0.119595950066164,0.0137504076797646,0.652969354423643,0.786315712169572,0.0894715001106706,0.0823535239031633,0.35925050454374,0.00260261831001214,0.466321853132414,0.828174975986166,0.141377477342492,0.183615950692456,0.0825001275898286,0.0147765747136553,0.577729869661568,0.675006571965052
"9","bNTIiRCbraya","Site","Pillar Coral",0.105398017839353,0.115851857903867,0.152629776747716,0.00988559277176502,0.616234754737299,0.77875012425678,0.05392896232183,0.0901112937796554,0.316942181151927,0.00602045923225571,0.532997103514332,0.855959743898515,0.303245859391971,0.173025374590449,0.0667919647388578,0.0113402141266782,0.445596587152043,0.523728766017579
"10","bNTIiRCbraya","Site","Overheat",0.0813302814275571,0.0644594087482247,0.184480420310294,0.00730099788213847,0.662428891631786,0.854210309824218,0.0924081086030935,0.110502866667456,0.260227302973009,0.0175605227600861,0.519301198996356,0.797089024729451,0.055308550768585,0.457978505040978,0.0544209318366797,0.0147987097257722,0.417493302627985,0.486712944190437
"11","bNTIiRCbraya","Site","Angus' Aquarium",0.0923075956674139,0.0998617095226436,0.0875973645503949,0.00891274408980098,0.711320586169747,0.807830694809943,0.0711257902096938,0.0810930569033486,0.204974069840685,0.00330348676884902,0.639503596277423,0.847781152886958,0.206071243398564,0.132556999276004,0.0420382840794893,0.0178533751267247,0.601480098119218,0.661371757325432
"12","bNTIiRCbraya","Substrate","CCA",0.100476820943598,0.102607460772268,0.116617410390353,0.0202805454510922,0.660017762442688,0.796915718284133,0.0731126007650848,0.0922096680468678,0.228124693650938,0.0140402460159628,0.592512791521147,0.834677731188047,0.191333952663422,0.238239394768793,0.0809496499627417,0.0189320495413815,0.470544953063662,0.570426652567785
"13","bNTIiRCbraya","Substrate","Carbonate",0.081263155541759,0.108757203487869,0.141936128909418,0.0106676493330905,0.657375862727863,0.809979640970372,0.0667366548170095,0.0906566599218337,0.288233266736211,0.00628957654088491,0.54808384198406,0.842606685261157,0.134156230790516,0.289850961559252,0.0930937924112333,0.00723460945638715,0.475664405782612,0.575992807650232
