feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bin283	AvgSampTemp	AvgSampTemp	41.470159477154	0.613745885506194	31	3	0	0
Bin122	Depth	Depth	-8.46716325373232	4.56830369174006e-25	31	10	0	0
Bin122	AvgSampTemp	AvgSampTemp	-9.67164218439607e-15	2.09910907826107e-25	31	10	0	0
Bin122	AvgSiteTemp	AvgSiteTemp	-5.74477552169688e-13	2.30602108055558e-22	31	10	0	0
Bin122	Salinity	Salinity	9.12607258839989e-13	6.49648498094122e-23	31	10	0	0
Bin122	pH	pH	8.25159314627448e-13	3.84165451444391e-22	31	10	0	0
Bin122	NitrateNitrite	NitrateNitrite	5.02093947125146e-13	3.84143433095557e-22	31	10	0	0
Bin122	Ammonium	Ammonium	-3.61376607095539e-15	1.14235410564132e-22	31	10	0	0
Bin122	Silicate	Silicate	-1.26627922747685e-12	3.07745761650527e-22	31	10	0	0
Bin122	CoralCover	CoralCover	-6.11606039017013e-13	1.87108547067692e-22	31	10	0	0
Bin122	MacroCover	MacroCover	-5.42315043409985e-13	1.02399152334383e-22	31	10	0	0
Bin122	CoralSimp	CoralSimp	9.9386734117662e-13	1.92352306893856e-22	31	10	0	0
Bin122	MacroShan	MacroShan	-4.71935720159788e-13	2.56748326407789e-23	31	10	0	0
Bin117	AvgSampTemp	AvgSampTemp	2.82804808207267	0.209474227141292	31	28	1.54903554226653e-41	4.58071938927387e-39
Bin283	Depth	Depth	-6.25464217390132	0.89482832079902	31	3	2.7534158667408e-12	7.59942779220462e-10
Bin124	AvgSampTemp	AvgSampTemp	-5.30816281529768	0.789314616824254	31	8	1.75558807482899e-11	4.54258414362e-09
Bin266	Ammonium	Ammonium	2.85567060217521	0.516553073560208	31	31	3.23312222569271e-08	7.87360353786342e-06
Bin192	AvgSampTemp	AvgSampTemp	1.02861346746788	0.18908066232468	31	17	5.32573813836675e-08	1.22491977182435e-05
Bin210	MacroCover	MacroCover	3.7478651982846	0.697159465303277	31	31	7.61976630701182e-08	1.66030697426468e-05
Bin302	Ammonium	Ammonium	-3.11280377645921	0.643080186245944	31	28	1.29539072774761e-06	0.000268145880643755
Bin308	AvgSampTemp	AvgSampTemp	6.9115747515145	1.43869155786944	31	11	1.55472542979336e-06	0.00030650301330212
Bin210	CoralCover	CoralCover	3.20374701946926	0.668851928287026	31	31	1.66848079523366e-06	0.000313977749648517
Bin235	MacroCover	MacroCover	1.79819258440819	0.383262864677797	31	31	2.70812227739496e-06	0.000487462009931093
Bin210	Silicate	Silicate	4.83111296407503	1.04388135036447	31	31	3.69162669839787e-06	0.000636805605473633
Bin235	CoralCover	CoralCover	1.74580042297651	0.382055026704284	31	31	4.88889297995085e-06	0.00080960067747986
Bin266	NitrateNitrite	NitrateNitrite	-5.15172016828832	1.1361532793109	31	31	5.77802930793376e-06	0.000867329097621272
Bin266	MacroCover	MacroCover	4.62054480480375	1.0197260866549	31	31	5.86599389695546e-06	0.000867329097621272
Bin210	Ammonium	Ammonium	1.69383545725693	0.373813630500252	31	31	5.86413100491145e-06	0.000867329097621272
Bin210	Salinity	Salinity	-2.96308341917877	0.659016252030868	31	31	6.91714919115519e-06	0.000947736716632465
Bin210	pH	pH	-3.67649657367677	0.817832918824957	31	31	6.94351085824157e-06	0.000947736716632465
Bin210	CoralSimp	CoralSimp	-4.31667870664754	0.961233301041052	31	31	7.09657927913198e-06	0.000947736716632465
Bin210	AvgSiteTemp	AvgSiteTemp	2.19512577909411	0.492350897389301	31	31	8.25513819762247e-06	0.00103923344985606
Bin210	NitrateNitrite	NitrateNitrite	-3.4782986074562	0.780341023749559	31	31	8.29564794197761e-06	0.00103923344985606
Bin234	Ammonium	Ammonium	2.86407215072654	0.643422178728725	31	31	8.53476746258602e-06	0.00103923344985606
Bin302	NitrateNitrite	NitrateNitrite	6.18648291688572	1.44502177096103	31	28	1.85855989922772e-05	0.00216424406403522
Bin232	MacroShan	MacroShan	-1.84064042915286	0.430211486440895	31	30	1.88195136003063e-05	0.00216424406403522
Bin302	MacroCover	MacroCover	-5.09782715750803	1.19758683030287	31	28	2.07420523784712e-05	0.00225979202228607
Bin235	Ammonium	Ammonium	0.828477751751538	0.19456584215485	31	31	2.06186230057573e-05	0.00225979202228607
Bin355	AvgSampTemp	AvgSampTemp	-8.43475522429411	1.98545926997678	31	21	2.15433391917826e-05	0.00228690831420461
